W/B,MK ,B,SP ,CS,MOE,Shrinkage
1,3,30,0,14.42,10.125,9
1,3,30,0,15.6,11.474,9
1,3,30,0,15.74,11.834,10.5
1,10,50,0,19,10.029,3.5
1,10,50,0,20.26,9.171,5.5
1,10,50,0,19.6,10.271,5
1,10,50,0,16.73,10.539,10
1,10,50,0,18.38,9.072,5.5
1,10,50,0,19.54,10.013,5.5
1,10,50,0,17.85,9.515,4
1,10,50,0,18.82,9.079,5
1,6,30,0,16.67,12.034,4.5
1,6,30,0,20.24,8.509,7.5
1,6,30,0,17.89,9.197,7
1,6,30,0,14.86,9.972,5
1,6,30,0,18.16,9.338,5
1,6,30,0,17.95,10.852,6.5
1,6,30,0,14.92,11.56,5
1,6,30,0,14.89,11.57,5
