W/B,MK ,B,SP ,CS,MOE,Strain
1,0,30,0,17.21,18.732,0.0019
1,0,30,0,15.52,14.212,0.0021
1,0,30,0,16.56,14.149,0.0019
1,0,30,0,15.28,12.74,0.0017
1,5,50,0,17.32,15.575,0.001
1,5,50,0,16.03,13.224,0.0017
1,5,50,0,18.64,9.836,0.0028
1,5,50,0,17.2,11.299,0.0018
1,5,50,0,14.67,10.341,0.0019
1,5,50,0,14.74,11.803,0.0014
1,3,30,0,16.13,12.304,0.0018
1,3,30,0,20.84,12.832,0.0025
1,3,30,0,14.28,10.094,0.002
1,3,30,0,14.16,10.735,0.0021
1,3,30,0,14.42,10.125,0.0021
1,3,30,0,15.6,11.474,0.0021
1,3,30,0,15.74,11.834,0.0019
1,10,50,0,19,10.029,0.0031
1,10,50,0,20.26,9.171,0.0035
1,10,50,0,19.6,10.271,0.0033
1,10,50,0,16.73,10.539,0.0024
1,10,50,0,18.38,9.072,0.0033
1,10,50,0,19.54,10.013,0.0031
1,10,50,0,17.85,9.515,0.0031
1,10,50,0,18.82,9.079,0.0033
1,6,30,0,16.67,12.034,0.0021
1,6,30,0,20.24,8.509,0.0033
1,6,30,0,17.89,9.197,0.0027
1,6,30,0,14.86,9.972,0.0021
1,6,30,0,18.16,9.338,0.003
1,6,30,0,17.95,10.852,0.0029
1,6,30,0,14.92,11.56,0.0023
1,6,30,0,14.89,11.57,0.0011
